text,label
Hi there!,greeting
"Hello, how are you today?",greeting
Hey,greeting
Good morning,greeting
What's up?,greeting
"Hi, are you there?",greeting
Hello chatbot,greeting
"Hey there, hope you're doing well",greeting
Greetings,greeting
Howdy,greeting
Sup,greeting
Good evening,greeting
Hi friend,greeting
Hey buddy,greeting
Hello there friend,greeting
Hiya,greeting
Good afternoon,greeting
Hey how's it going,greeting
"Hi, nice to meet you",greeting
"Hello, I'm new here",greeting
"Hey, first time using this",greeting
"Hi, can you help me?",greeting
"Hello, I heard you could talk",greeting
"Hey, someone recommended I try this",greeting
"Hi, I'm looking for someone to chat with",greeting
"Hello, are you real?",greeting
"Hey, what's your name?",greeting
"Hi, how does this work?",greeting
"Hey there, thanks for being here",greeting
"Hello, glad I found you",greeting
"Hi, I hope you can understand me",greeting
"Hey, ready to chat?",greeting
Good day to you,greeting
Hey there buddy,greeting
Hello my friend,greeting
How's the weather today?,small_talk
What's your favorite color?,small_talk
Do you like music?,small_talk
What did you do today?,small_talk
"I love pizza, do you?",small_talk
It's raining outside,small_talk
What's your favorite movie?,small_talk
I had coffee this morning,small_talk
Do you watch TV?,small_talk
I'm bored right now,small_talk
What's the time?,small_talk
I like dogs better than cats,small_talk
What's your hobby?,small_talk
I went shopping today,small_talk
Do you sleep?,small_talk
I'm watching Netflix,small_talk
What's your favorite food?,small_talk
I love summer weather,small_talk
Do you have friends?,small_talk
I went for a walk today,small_talk
What do you think about social media?,small_talk
I'm trying to learn guitar,small_talk
Do you like sports?,small_talk
I had a weird dream last night,small_talk
What's your favorite book?,small_talk
I'm learning Spanish,small_talk
Do you travel?,small_talk
I love chocolate,small_talk
What's your opinion on cats?,small_talk
I bought new shoes today,small_talk
Do you play games?,small_talk
I'm listening to music right now,small_talk
What's your favorite season?,small_talk
I went to the gym today,small_talk
Do you cook?,small_talk
What is anxiety?,definition_request
Can you explain depression?,definition_request
What does PTSD mean?,definition_request
Define panic attack,definition_request
What is bipolar disorder?,definition_request
Explain what stress is,definition_request
What's the difference between anxiety and worry?,definition_request
Can you tell me about OCD?,definition_request
What is mindfulness?,definition_request
Define mental health,definition_request
What does therapy mean?,definition_request
Explain what counseling is,definition_request
What is cognitive behavioral therapy?,definition_request
Can you define self-care?,definition_request
What's a panic disorder?,definition_request
Explain what trauma is,definition_request
What is emotional regulation?,definition_request
Define burnout,definition_request
What's the meaning of resilience?,definition_request
Can you explain eating disorders?,definition_request
What is social anxiety?,definition_request
Define what coping mechanisms are,definition_request
What does it mean to have a breakdown?,definition_request
Explain what grief is,definition_request
What is addiction?,definition_request
Can you define mood disorders?,definition_request
What's the difference between sadness and depression?,definition_request
Explain what intrusive thoughts are,definition_request
What is emotional intelligence?,definition_request
Define what triggers are,definition_request
What does it mean to dissociate?,definition_request
Can you explain what flashbacks are?,definition_request
What is perfectionism?,definition_request
Define what boundaries are,definition_request
What's imposter syndrome?,definition_request
How do I deal with stress?,coping_advice
What can I do about my anxiety?,coping_advice
Help me cope with depression,coping_advice
I need advice for handling panic attacks,coping_advice
How to manage overwhelming feelings?,coping_advice
What are some ways to relax?,coping_advice
I need help with my anger,coping_advice
How can I sleep better?,coping_advice
Ways to improve my mood?,coping_advice
How do I stop overthinking?,coping_advice
I need coping strategies for work stress,coping_advice
How to deal with rejection?,coping_advice
What can I do when I feel lonely?,coping_advice
Help me manage my emotions,coping_advice
How to cope with loss?,coping_advice
I need advice for handling criticism,coping_advice
Ways to build confidence?,coping_advice
How do I set boundaries?,coping_advice
Help me deal with change,coping_advice
What can I do about intrusive thoughts?,coping_advice
How to manage social anxiety?,coping_advice
I need help with procrastination,coping_advice
Ways to handle difficult relationships?,coping_advice
How can I be more patient?,coping_advice
Help me cope with uncertainty,coping_advice
What to do when feeling overwhelmed?,coping_advice
How do I practice self-compassion?,coping_advice
Ways to deal with perfectionism?,coping_advice
How can I improve my self-esteem?,coping_advice
Help me handle conflict better,coping_advice
What can I do about negative thoughts?,coping_advice
How to cope with guilt?,coping_advice
Ways to manage expectations?,coping_advice
How do I deal with disappointment?,coping_advice
Help me with time management stress,coping_advice
I don't want to live anymore,self_harm
Life isn't worth it,self_harm
I want to end it all,self_harm
I'm thinking about hurting myself,self_harm
Nothing matters anymore,self_harm
I wish I was dead,self_harm
I can't take this pain,self_harm
I want to disappear,self_harm
Life is too hard,self_harm
I'm better off gone,self_harm
I have nothing to live for,self_harm
I want it all to stop,self_harm
I'm thinking about suicide,self_harm
I can't do this anymore,self_harm
I hate being alive,self_harm
I want to give up,self_harm
Everyone would be better without me,self_harm
I'm tired of existing,self_harm
I don't see the point in living,self_harm
I want to hurt myself,self_harm
I'm planning to end my life,self_harm
I can't handle the pain anymore,self_harm
I feel like dying,self_harm
I want to cut myself,self_harm
Life has no meaning,self_harm
I'm done with everything,self_harm
I wish I could just sleep forever,self_harm
I'm thinking of ways to die,self_harm
I want to kill myself,self_harm
I'm ready to give up on life,self_harm
I feel worthless and want to die,self_harm
I'm going to harm myself tonight,self_harm
I can't see a future for myself,self_harm
I want to overdose,self_harm
I'm going to jump,self_harm
What's 2+2?,other
Can you order pizza for me?,other
What's the capital of France?,other
How do I fix my car?,other
What's the weather like?,other
Can you help me with math homework?,other
Tell me a joke,other
What time is it in Tokyo?,other
How do I cook pasta?,other
Can you translate this to Spanish?,other
What's the latest news?,other
How do I lose weight?,other
Can you recommend a restaurant?,other
