text,label
Lately I Feel Absolutely Feeling Down Today,sad
Right Now I'm Really Blue Inside,sad
I Absolutely Blue Inside This Morning,sad
I'm Really Blue Inside,sad
Right Now I'm Full Of Sorrow Inside,sad
I'm Truly Swamped By Grief,sad
Lately I Feel Heavy-hearted,sad
Right Now I'm Feeling Down This Morning,sad
I'm So Blue Inside This Morning,sad
Right Now I'm Quite Heavy-hearted,sad
Today I Am So Swamped By Grief,sad
Right Now I'm Extremely Feeling Down,sad
Lately I Feel Truly Full Of Sorrow Lately,sad
I Feeling Down Tonight,sad
Today I Am Really Full Of Sorrow This Morning,sad
Lately I Feel Really Swamped By Grief This Morning,sad
Lately I Feel Deeply Swamped By Grief Today,sad
I Really Feeling Down,sad
Right Now I'm Swamped By Grief Tonight,sad
Right Now I'm Deeply Heavy-hearted Today,sad
Today I Am Truly Blue Inside Lately,sad
I'm Truly Heavy-hearted Right Now,sad
Today I Am Really Feeling Down Today,sad
I So Full Of Sorrow,sad
I Quite Heavy-hearted Somehow,sad
Right Now I'm Absolutely Feeling Down,sad
Lately I Feel Deeply Full Of Sorrow Today,sad
I'm Truly Full Of Sorrow Right Now,sad
Right Now I'm Really Swamped By Grief Somehow,sad
Today I Am Swamped By Grief Right Now,sad
I'm Absolutely Feeling Down,sad
Today I Am Blue Inside,sad
I'm Blue Inside Lately,sad
Today I Am Heavy-hearted Tonight,sad
Lately I Feel Truly Full Of Sorrow,sad
Lately I Feel So Full Of Sorrow Tonight,sad
I'm Deeply Heavy-hearted Right Now,sad
Right Now I'm Truly Feeling Down Tonight,sad
I Deeply Feeling Down Lately,sad
Today I Am Deeply Swamped By Grief Today,sad
I'm Blue Inside This Morning,sad
I Deeply Feeling Down Somehow,sad
Right Now I'm Feeling Down Tonight,sad
Lately I Feel Incredibly Swamped By Grief This Morning,sad
Today I Am Extremely Heavy-hearted,sad
I'm Absolutely Feeling Down Somehow,sad
I Truly Feeling Down Today,sad
Right Now I'm Full Of Sorrow Somehow,sad
Lately I Feel So Feeling Down,sad
I'm Extremely Full Of Sorrow,sad
Right Now I'm Full Of Sorrow Right Now,sad
I Feeling Down Inside,sad
Lately I Feel Deeply Feeling Down,sad
Right Now I'm Full Of Sorrow Lately,sad
Lately I Feel Really Blue Inside Right Now,sad
I'm Incredibly Full Of Sorrow Today,sad
Right Now I'm Extremely Blue Inside Today,sad
Right Now I'm Quite Swamped By Grief,sad
Lately I Feel Quite Blue Inside Today,sad
Lately I Feel Swamped By Grief Somehow,sad
Right Now I'm Heavy-hearted,sad
I'm Truly Blue Inside Today,sad
Right Now I'm Extremely Swamped By Grief,sad
I Quite Full Of Sorrow Tonight,sad
Lately I Feel Truly Feeling Down Somehow,sad
Right Now I'm Swamped By Grief Inside,sad
Right Now I'm So Blue Inside,sad
I Truly Feeling Down Somehow,sad
Right Now I'm Really Full Of Sorrow Today,sad
Right Now I'm Truly Blue Inside Tonight,sad
I Quite Feeling Down Right Now,sad
I'm Extremely Blue Inside,sad
I'm Incredibly Blue Inside,sad
Right Now I'm So Feeling Down,sad
Today I Am Blue Inside Tonight,sad
Today I Am So Swamped By Grief Somehow,sad
Today I Am Deeply Feeling Down Inside,sad
I Absolutely Full Of Sorrow This Morning,sad
Today I Am Really Feeling Down Somehow,sad
Lately I Feel Truly Swamped By Grief Somehow,sad
Right Now I'm Full Of Sorrow,sad
Lately I Feel Swamped By Grief Inside,sad
I'm Full Of Sorrow Right Now,sad
I Full Of Sorrow Tonight,sad
Lately I Feel Quite Blue Inside This Morning,sad
Today I Am Feeling Down Inside,sad
I'm Extremely Feeling Down,sad
Today I Am Heavy-hearted Inside,sad
I Feeling Down Somehow,sad
Today I Am Extremely Heavy-hearted Lately,sad
I Full Of Sorrow Inside,sad
Right Now I'm Truly Heavy-hearted Somehow,sad
Lately I Feel Deeply Blue Inside,sad
I'm Blue Inside Today,sad
I Deeply Blue Inside Today,sad
Right Now I'm Deeply Full Of Sorrow This Morning,sad
Today I Am Absolutely Feeling Down Right Now,sad
Today I Am Feeling Down,sad
Lately I Feel Deeply Feeling Down Tonight,sad
Right Now I'm Truly Blue Inside Inside,sad
I'm Quite Feeling Down Today,sad
Lately I Feel Heavy-hearted Right Now,sad
Right Now I'm Deeply Swamped By Grief Somehow,sad
Right Now I'm Extremely Heavy-hearted,sad
Right Now I'm Heavy-hearted Somehow,sad
I'm Feeling Down Today,sad
Right Now I'm Really Heavy-hearted Inside,sad
Today I Am Quite Heavy-hearted,sad
Right Now I'm Absolutely Full Of Sorrow,sad
Lately I Feel Feeling Down Tonight,sad
Right Now I'm Absolutely Feeling Down Tonight,sad
I Truly Feeling Down,sad
I Truly Heavy-hearted This Morning,sad
Lately I Feel Extremely Feeling Down This Morning,sad
I'm Blue Inside Right Now,sad
Today I Am Truly Blue Inside,sad
Lately I Feel Blue Inside This Morning,sad
Lately I Feel Truly Blue Inside Today,sad
I'm Quite Feeling Down Lately,sad
I'm Really Swamped By Grief Today,sad
I'm Incredibly Heavy-hearted Inside,sad
Right Now I'm Feeling Down Today,sad
Right Now I'm Swamped By Grief Lately,sad
Lately I Feel Incredibly Swamped By Grief Inside,sad
I Quite Blue Inside Today,sad
I'm Full Of Sorrow This Morning,sad
Right Now I'm Quite Swamped By Grief Lately,sad
Today I Am So Feeling Down,sad
I'm Deeply Swamped By Grief Somehow,sad
I Truly Feeling Down Right Now,sad
I Really Feeling Down Inside,sad
I'm Deeply Feeling Down Right Now,sad
I Incredibly Swamped By Grief Right Now,sad
I Deeply Swamped By Grief Tonight,sad
I Truly Feeling Down Lately,sad
I Extremely Feeling Down Lately,sad
Right Now I'm Quite Full Of Sorrow Somehow,sad
I'm Truly Feeling Down,sad
Right Now I'm Heavy-hearted Today,sad
Today I Am Truly Full Of Sorrow This Morning,sad
Lately I Feel Extremely Blue Inside Somehow,sad
Today I Am Really Feeling Down,sad
I Really Feeling Down Today,sad
Today I Am Full Of Sorrow,sad
I'm Deeply Full Of Sorrow Somehow,sad
I Truly Full Of Sorrow Today,sad
Today I Am Feeling Down Right Now,sad
I'm So Full Of Sorrow Lately,sad
Today I Am Quite Swamped By Grief Inside,sad
Lately I Feel So Full Of Sorrow,sad
I'm Really Feeling Down,sad
Lately I Feel Feeling Down Somehow,sad
I'm Quite Blue Inside Somehow,sad
Lately I Feel Really Heavy-hearted Tonight,sad
Right Now I'm Quite Feeling Down,sad
Lately I Feel Quite Feeling Down Inside,sad
Lately I Feel Truly Swamped By Grief This Morning,sad
Lately I Feel Really Swamped By Grief,sad
I Swamped By Grief Today,sad
Lately I Feel Full Of Sorrow Lately,sad
Right Now I'm Heavy-hearted This Morning,sad
Right Now I'm Really Feeling Down This Morning,sad
I'm Incredibly Feeling Down,sad
Today I Am Really Swamped By Grief,sad
I'm So Heavy-hearted Tonight,sad
Lately I Feel So Full Of Sorrow Somehow,sad
Today I Am So Heavy-hearted,sad
I Absolutely Full Of Sorrow Right Now,sad
I'm Quite Swamped By Grief Tonight,sad
Lately I Feel So Feeling Down Today,sad
I'm Quite Blue Inside Inside,sad
I Quite Heavy-hearted Today,sad
Today I Am Absolutely Swamped By Grief Tonight,sad
Today I Am Truly Heavy-hearted Lately,sad
Today I Am Absolutely Feeling Down Lately,sad
Lately I Feel Really Full Of Sorrow Somehow,sad
I'm Truly Swamped By Grief Inside,sad
I Incredibly Blue Inside Inside,sad
I'm Absolutely Feeling Down Lately,sad
Lately I Feel Extremely Full Of Sorrow,sad
Lately I Feel Full Of Sorrow,sad
I'm Really Swamped By Grief Lately,sad
Right Now I'm Quite Blue Inside Right Now,sad
Right Now I'm Extremely Full Of Sorrow Inside,sad
Today I Am Extremely Swamped By Grief Inside,sad
Lately I Feel So Heavy-hearted,sad
Right Now I'm Extremely Full Of Sorrow Tonight,sad
Right Now I'm Incredibly Heavy-hearted Tonight,sad
I'm Deeply Feeling Down Tonight,sad
I'm Swamped By Grief Somehow,sad
Lately I Feel Deeply Swamped By Grief Lately,sad
I'm Deeply Blue Inside Inside,sad
I Extremely Blue Inside Lately,sad
Lately I Feel Swamped By Grief Lately,sad
Right Now I'm So Swamped By Grief Tonight,sad
I'm So Heavy-hearted Lately,sad
I'm Swamped By Grief This Morning,sad
Today I Am Absolutely Blue Inside Today,sad
I Extremely Feeling Down Somehow,sad
I Deeply Heavy-hearted Today,sad
Right Now I'm Incredibly Heavy-hearted Inside,sad
I Absolutely Full Of Sorrow Inside,sad
I Truly Feeling Down Tonight,sad
Lately I Feel Quite Swamped By Grief Today,sad
I Extremely Feeling Down,sad
I So Heavy-hearted Somehow,sad
Today I Am Quite Swamped By Grief,sad
